,Compound,Date,Negative,Neutral,News_outlet,Positive,Tweet,Tweet_number
0,0.6369,2018-07-21 20:21:08,0.0,0.679,BBC,0.321,"?? A business trip leads to a chance encounter...

Pretty Woman | 10:20pm | @BBCOne | https://t.co/vCrrzh7bN7 https://t.co/KS0CZCwcDx",1
1,-0.4939,2018-07-21 19:31:05,0.276,0.724,BBC,0.0,"The ruins of a Cumbrian village have been exposed by the UK drought. ?

https://t.co/zCaOtOFM74",2
2,0.0,2018-07-21 18:02:06,0.0,1.0,BBC,0.0,"? @RomeshRanga really REALLY can't stand Gogglebox. #LiveAtTheApollo

https://t.co/IMrhnETAg7",3
3,0.0,2018-07-21 17:05:05,0.0,1.0,BBC,0.0,"How being drawn naked helped these women reclaim their bodies. 
(via @BBCThree) https://t.co/h22GymBo6O",4
4,0.0,2018-07-21 16:04:04,0.0,1.0,BBC,0.0,Was the ?the first emoticon? https://t.co/3eZwRPDqbJ,5
5,0.0,2018-07-21 15:04:19,0.0,1.0,BBC,0.0,RT @BBCR1: From @ShawnMendes and @NiallOfficial to @DUALIPA and @ArianaGrande; 10 massive pop collabs we NEED to hear right now ? https://t…,6
6,0.8126,2018-07-21 15:04:02,0.0,0.63,BBC,0.37,??? @reallorraine and @robbeckettcomic host as two couples play for dream prizes and a chance to get married in fro… https://t.co/JOaddKsXdr,7
7,0.2023,2018-07-21 14:03:06,0.139,0.648,BBC,0.213,A huge iceberg is looming over a village in Greenland. https://t.co/sDLtIq41Fj,8
8,0.0,2018-07-21 13:03:08,0.0,1.0,BBC,0.0,"Would you consider becoming a hedgehog foster parent? ? ?

https://t.co/qTzxBdTy1B",9
9,-0.8316,2018-07-21 12:03:05,0.328,0.672,BBC,0.0,"Maths, science, history and... death? ???

Death could be added to the school timetable in Australia. ?… https://t.co/l6jEPAaK64",10
10,0.0,2018-07-21 11:16:04,0.0,1.0,BBC,0.0,"????? @GabbyLogan presents live coverage from the first day of the #AnniversaryGames at the London Stadium.

Athlet… https://t.co/KD8QAeSMnA",11
11,0.5719,2018-07-21 10:10:07,0.0,0.73,BBC,0.27,?This 88-year-old runner has celebrated his 200th Parkrun in Manchester. https://t.co/9yG6L3bCye,12
12,0.7506,2018-07-21 09:03:03,0.0,0.686,BBC,0.314,"Amazing innovation ?
A family in France has become the first to move in to a 3D-printed house. https://t.co/FYDtNW19PL",13
13,0.4939,2018-07-21 09:02:04,0.0,0.833,BBC,0.167,?? The Sri Lankan schoolgirl turned inventor trying to save the planet one lunchbox at a time. https://t.co/RZlJolph79,14
14,0.0,2018-07-21 08:32:20,0.0,1.0,BBC,0.0,RT @bbcweather: In Pictures: The dramatic effect of the UK heatwave https://t.co/xmdTbUlpTy Jo https://t.co/mKIjUw8Yhs,15
